dataset,filename,original,result
epic_train,P14_5.mp4,71,8
epic_train,P15_1.mp4,47,14
epic_train,P15_2.mp4,707,289
epic_train,P28_5.mp4,524,147
epic_train,P28_6.mp4,764,127
epic_train,P31_5.mp4,483,39
epic_train,P31_6.mp4,187,83
epic_train,P3_14.mp4,260,97
epic_train,P3_15.mp4,10,2
epic_train,P3_16.mp4,272,47
epic_test,P01_15.mp4,924,183
epic_test,P09_01.mp4,14,2
epic_test,P09_02.mp4,370,44
epic_test,P09_03.mp4,146,46
epic_test,P11_01.mp4,182,75
epic_test,P11_02.mp4,36,2
